,Country,Date,Women
176,Chile,2015,6.8
177,China (People's Republic of),2000,3.7
178,China (People's Republic of),2010,3.2
179,Colombia,2005,15.9
180,Colombia,2010,15.7
181,Colombia,2015,11.8
182,Costa Rica,1990,5.7
183,Costa Rica,1995,6.5
184,Costa Rica,2000,6.6
185,Costa Rica,2005,9.3
186,Costa Rica,2010,11.0
187,Costa Rica,2015,12.2
188,Estonia,1990,0.7
189,Estonia,1995,8.9
190,Estonia,2000,13.2
191,Estonia,2005,6.9
192,Estonia,2010,14.1
193,Estonia,2015,6.1
194,India,2000,4.2
195,India,2005,5.0
196,India,2010,4.3
197,Indonesia,2010,8.5
198,Israel,1990,14.0
199,Israel,1995,10.7
200,Israel,2000,11.1
201,Israel,2005,11.6
202,Israel,2010,7.9
203,Israel,2015,5.4
204,Latvia,2000,13.2
205,Latvia,2005,10.0
206,Latvia,2010,16.3
207,Latvia,2015,8.6
208,Lithuania,2000,14.0
209,Lithuania,2005,8.5
210,Lithuania,2010,14.5
211,Lithuania,2015,8.2
212,Russia,1995,9.2
213,Russia,2000,10.4
214,Russia,2005,6.9
215,Russia,2010,6.8
216,Russia,2015,5.3
217,Slovenia,2000,7.1
218,Slovenia,2005,7.0
219,Slovenia,2010,7.0
220,Slovenia,2015,10.0
221,South Africa,2005,28.2
222,South Africa,2010,27.0
223,South Africa,2015,27.5
224,Australia,2016,5.8
225,Austria,2016,5.5
226,Belgium,2016,7.6
227,Canada,2016,6.3
228,Czech Republic,2016,4.7
229,Denmark,2016,6.2
230,Finland,2016,8.6
231,France,2016,9.8
232,Germany,2016,3.7
233,Greece,2016,28.1
234,Hungary,2016,5.1
235,Iceland,2016,3.4
236,Ireland,2016,7.5
237,Italy,2016,12.8
238,Japan,2016,2.9
239,Korea,2016,3.6
240,Luxembourg,2016,6.6
241,Mexico,2016,3.9
242,Netherlands,2016,6.5
243,New Zealand,2016,5.5
244,Norway,2016,3.9
245,Poland,2016,6.2
246,Portugal,2016,11.2
247,Slovak Republic,2016,10.7
248,Spain,2016,21.4
249,Sweden,2016,6.5
250,Switzerland,2016,5.0
251,Turkey,2016,13.7
252,United Kingdom,2016,4.7
253,United States,2016,4.8
254,Brazil,2015,10.4
255,Chile,2016,7.0
256,Colombia,2016,12.1
257,Costa Rica,2016,12.1
258,Estonia,2016,6.1
259,Israel,2016,4.9
260,Latvia,2016,8.4
261,Lithuania,2016,6.7
262,Russia,2016,5.3
263,Slovenia,2016,8.6
264,South Africa,2016,28.9
265,Australia,2017,5.7
266,Austria,2017,5.0
267,Belgium,2017,7.1
268,Canada,2017,5.9
269,Czech Republic,2017,3.6
270,Denmark,2017,6.0
271,Finland,2017,8.4
272,France,2017,9.3
273,Germany,2017,3.3
274,Greece,2017,26.1
275,Hungary,2017,4.6
276,Iceland,2017,3.2
277,Ireland,2017,6.0
278,Italy,2017,12.4
279,Japan,2017,2.7
280,Korea,2017,3.5
281,Luxembourg,2017,5.5
282,Mexico,2017,3.6
283,Netherlands,2017,5.3
284,New Zealand,2017,5.2
285,Norway,2017,3.7
286,Poland,2017,4.9
287,Portugal,2017,9.3
288,Slovak Republic,2017,8.4
289,Spain,2017,19.0
290,Sweden,2017,6.4
291,Switzerland,2017,5.1
292,Turkey,2017,14.1
293,United Kingdom,2017,4.2
294,United States,2017,4.3
295,Brazil,2016,13.1
296,Brazil,2017,14.5
297,Bulgaria,2000,16.7
298,Bulgaria,2005,9.8
299,Bulgaria,2010,9.6
300,Bulgaria,2015,8.4
301,Bulgaria,2016,7.0
302,Bulgaria,2017,5.9
303,Chile,2017,7.2
304,Colombia,2017,12.3
305,Costa Rica,2017,11.6
306,Croatia,2005,13.8
307,Croatia,2010,12.3
308,Croatia,2015,17.0
309,Croatia,2016,13.8
310,Croatia,2017,11.9
311,Cyprus,2000,7.3
312,Cyprus,2005,6.5
313,Cyprus,2010,6.4
314,Cyprus,2015,14.9
315,Cyprus,2016,13.3
316,Cyprus,2017,11.3
317,Estonia,2017,5.3
318,Indonesia,2000,6.7
319,Indonesia,2005,14.1
320,Indonesia,2015,6.1
321,Indonesia,2016,5.4
322,Indonesia,2017,5.4
323,Israel,2017,4.3
324,Latvia,2017,7.7
325,Lithuania,2017,5.7
326,North Macedonia,2010,32.2
327,North Macedonia,2015,25.1
328,North Macedonia,2016,22.7
329,North Macedonia,2017,21.8
330,Malta,2000,6.5
331,Malta,2005,8.4
332,Malta,2010,7.1
333,Malta,2015,5.2
334,Malta,2016,5.2
335,Malta,2017,4.3
336,Romania,2000,6.4
337,Romania,2005,6.4
338,Romania,2010,6.2
339,Romania,2015,5.8
340,Romania,2016,5.0
341,Romania,2017,4.0
342,Russia,2017,5.0
343,Slovenia,2017,7.5
344,South Africa,2017,29.4
345,Australia,2018,5.3
346,Austria,2018,4.7
347,Belgium,2018,5.6
348,Canada,2018,5.6
349,Czech Republic,2018,2.8
350,Denmark,2018,5.1
351,Finland,2018,7.3
352,France,2018,9.1
353,Germany,2018,2.9
354,Greece,2018,24.2
355,Hungary,2018,4.0
356,Iceland,2018,3.0
357,Ireland,2018,5.2
358,Italy,2018,11.8
359,Japan,2018,2.3
360,Korea,2018,3.7
361,Luxembourg,2018,5.9
362,Mexico,2018,3.4
363,Netherlands,2018,4.0
364,New Zealand,2018,4.5
365,Norway,2018,3.5
366,Poland,2018,3.8
367,Portugal,2018,7.4
368,Slovak Republic,2018,7.0
369,Spain,2018,17.0
370,Sweden,2018,6.2
371,Switzerland,2018,5.1
372,Turkey,2018,13.9
373,United Kingdom,2018,4.1
374,United States,2018,3.8
375,Brazil,2018,13.8
376,Bulgaria,2018,4.7
377,Chile,2018,7.7
378,Colombia,2018,12.7
379,Costa Rica,2018,13.2
380,Croatia,2018,9.3
381,Cyprus,2018,8.7
382,Estonia,2018,5.3
383,India,2018,9.0
384,Israel,2018,4.0
385,Latvia,2018,6.4
386,Lithuania,2018,5.4
387,North Macedonia,2018,19.9
388,Malta,2018,3.6
389,Romania,2018,3.5
390,Russia,2018,4.7
391,Slovenia,2018,5.7
392,South Africa,2018,29.0
393,Australia,2019,5.1
394,Austria,2019,4.3
395,Belgium,2019,4.9
396,Canada,2019,5.3
397,Czech Republic,2019,2.4
398,Denmark,2019,5.0
399,Finland,2019,6.2
400,France,2019,8.4
401,Germany,2019,2.7
402,Greece,2019,21.5
403,Hungary,2019,3.5
404,Iceland,2019,3.4
405,Ireland,2019,3.8
406,Italy,2019,11.1
407,Japan,2019,2.2
408,Korea,2019,3.6
409,Luxembourg,2019,5.5
410,Mexico,2019,3.5
411,Netherlands,2019,3.4
412,New Zealand,2019,4.4
413,Norway,2019,3.4
414,Poland,2019,3.6
415,Portugal,2019,7.2
416,Slovak Republic,2019,6.0
417,Spain,2019,16.0
418,Sweden,2019,6.9
419,Switzerland,2019,4.7
420,Turkey,2019,16.5
421,United Kingdom,2019,3.6
422,United States,2019,3.6
423,Brazil,2019,14.0
424,Chile,2019,7.7
425,Colombia,2019,13.7
426,Costa Rica,2019,15.3
427,Estonia,2019,4.8
428,Indonesia,2018,5.3
429,Indonesia,2019,5.2
430,Israel,2019,3.9
431,Latvia,2019,5.4
432,Lithuania,2019,5.5
433,Russia,2019,4.4
434,Slovenia,2019,5.0
435,South Africa,2019,30.5
436,Australia,2020,6.4
437,Austria,2020,5.2
438,Belgium,2020,5.4
439,Canada,2020,9.4
440,Czech Republic,2020,3.0
441,Denmark,2020,5.9
442,Finland,2020,7.5
443,France,2020,8.0
444,Greece,2020,19.8
445,Hungary,2020,4.5
446,Iceland,2020,6.3
447,Ireland,2020,4.5
448,Italy,2020,10.2
449,Japan,2020,2.5
450,Korea,2020,4.0
451,Luxembourg,2020,7.0
452,Mexico,2020,4.2
453,Netherlands,2020,4.0
454,New Zealand,2020,5.0
455,Norway,2020,4.1
456,Poland,2020,3.3
457,Portugal,2020,7.1
458,Slovak Republic,2020,7.1
459,Spain,2020,17.4
460,Sweden,2020,8.3
461,Switzerland,2020,5.0
462,Turkey,2020,14.8
463,United Kingdom,2020,4.1
464,United States,2020,8.3
465,Brazil,2020,15.9
466,Chile,2020,10.9
467,Colombia,2020,20.5
468,Costa Rica,2020,25.4
469,Estonia,2020,6.6
470,India,2019,8.7
471,Israel,2020,4.1
472,Latvia,2020,7.1
473,Lithuania,2020,7.7
474,Russia,2020,5.7
475,Slovenia,2020,5.6
476,South Africa,2020,31.0
