ref_area.label,indicator.label,source.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Total,2020,16.5,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Single,2020,9.21,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Married,2020,17.58,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Union / Cohabiting,2020,11.56,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Widowed,2020,15.74,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Divorced or legally separated,2020,22.51,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Not elsewhere classified,2020,15.27,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force participation rate by sex, age and marital status (%)",HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Total,2009,60.92,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force participation rate by sex, age and marital status (%)",HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Single,2009,38.84,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force participation rate by sex, age and marital status (%)",HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Married,2009,71.19,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force participation rate by sex, age and marital status (%)",HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Union / Cohabiting,2009,66.93,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force participation rate by sex, age and marital status (%)",HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Widowed,2009,72.73,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force participation rate by sex, age and marital status (%)",HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Divorced or legally separated,2009,79.29,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force participation rate by sex, age and marital status (%)",PC - Recensements de Population,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Total,2014,37.02,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force participation rate by sex, age and marital status (%)",PC - Recensements de Population,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Single,2014,26.69,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force participation rate by sex, age and marital status (%)",PC - Recensements de Population,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Married,2014,44.66,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force participation rate by sex, age and marital status (%)",PC - Recensements de Population,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Union / Cohabiting,2014,43.15,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force participation rate by sex, age and marital status (%)",PC - Recensements de Population,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Widowed,2014,43.67,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force participation rate by sex, age and marital status (%)",PC - Recensements de Population,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Divorced or legally separated,2014,48.59,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force participation rate by sex, age and marital status (%)",PC - Recensements de Population,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Not elsewhere classified,2014,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Total,2007,36.73,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Single,2007,28.94,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Married,2007,43.03,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Widowed,2007,12.67,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Divorced or legally separated,2007,48.81,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Total,2008,45.66,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Single,2008,34.52,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Married,2008,54.09,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Widowed,2008,13.26,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Divorced or legally separated,2008,55.68,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Total,2009,46.13,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Single,2009,36.38,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Married,2009,54.03,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Widowed,2009,18.34,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Divorced or legally separated,2009,62.86,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Total,2010,46.86,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Single,2010,34.84,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Married,2010,55.44,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Widowed,2010,20.85,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Divorced or legally separated,2010,62.9,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Total,2011,52.49,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Single,2011,41.74,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Married,2011,61.35,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Widowed,2011,19.99,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Divorced or legally separated,2011,64.79,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Total,2013,43.94,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Single,2013,27.82,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Married,2013,53.79,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Widowed,2013,21.64,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Divorced or legally separated,2013,50.3,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Total,2014,43.98,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Single,2014,31.75,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Married,2014,53.07,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Widowed,2014,15.78,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Divorced or legally separated,2014,58.26,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Total,2015,47.04,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Single,2015,32.2,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Married,2015,56.75,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Widowed,2015,18.24,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Divorced or legally separated,2015,72.67,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Total,2016,49.73,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Single,2016,37.21,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Married,2016,59.16,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Widowed,2016,18.87,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Divorced or legally separated,2016,63.79,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Total,2017,49.57,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Single,2017,35.36,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Married,2017,59.51,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Widowed,2017,20.57,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Divorced or legally separated,2017,61.64,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Not elsewhere classified,2017,49.35,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Total,2018,51.32,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Single,2018,39.15,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Married,2018,61.21,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Widowed,2018,18.76,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Divorced or legally separated,2018,67.27,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Total,2019,52.87,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Single,2019,41.46,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Married,2019,62.84,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Widowed,2019,17.89,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Divorced or legally separated,2019,72.06,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",HIES - Living Standards Measurement Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Total,2012,27.11,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",HIES - Living Standards Measurement Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Single,2012,21.46,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",HIES - Living Standards Measurement Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Married,2012,31.32,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",HIES - Living Standards Measurement Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Union / Cohabiting,2012,45.34,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",HIES - Living Standards Measurement Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Widowed,2012,9.55,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force participation rate by sex, age and marital status (%)",HIES - Living Standards Measurement Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Divorced or legally separated,2012,55.31,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Total,2017,52.64,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Single,2017,61.93,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Married,2017,90.28,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Widowed,2017,78.06,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Divorced or legally separated,2017,48.51,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Not elsewhere classified,2017,26.34,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Total,2018,49.61,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Single,2018,59.6,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Married,2018,44.92,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Widowed,2018,27.17,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Divorced or legally separated,2018,69.82,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Total,2019,57.47,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Single,2019,65.78,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Married,2019,53.65,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Widowed,2019,34.02,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Divorced or legally separated,2019,79.23,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,"Labour force participation rate by sex, age and marital status (%)",LFS - Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Not elsewhere classified,2019,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Argentina,"Labour force participation rate by sex, age and marital status (%)",LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,Age (10-year bands): Total,Marital status (detailed): Total,2004,50.31,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Labour force participation rate by sex, age and marital status (%)",LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,Age (10-year bands): Total,Marital status (detailed): Single,2004,52.51,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Labour force participation rate by sex, age and marital status (%)",LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,Age (10-year bands): Total,Marital status (detailed): Married,2004,48.46,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Labour force participation rate by sex, age and marital status (%)",LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,Age (10-year bands): Total,Marital status (detailed): Union / Cohabiting,2004,58.36,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Labour force participation rate by sex, age and marital status (%)",LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,Age (10-year bands): Total,Marital status (detailed): Widowed,2004,20.7,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
