"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.14","13.72","13.78","15","17.22","16.55","19.11","18.21","22.35","16.22","18.12","19.06","22.91","",
"American Samoa","ASM","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","54.58","56.96","57.05","55.87","54.67","55.64","56.95","57.93","57.65","58.26","60.66","60.05","55.82","54.76","54.4","57.05","59.23","59.18","57.62","58.45","59.51","60.76","60.58","60.22","61.22","61.56","62.37","62.9","63.24","63.5","60.72","59.71","60.19","59.46","58.73","57.98","58.76","58.79","58.74","60.32","60.76","57.72",
"Austria","AUT","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.11","55.24","52.7","51.38","51.28","50.72","48.61","47.24","47.66","46.38","45.13","48.52","48.8","50.63","51.33","50.51","48.93","49.82","50.27","49.75","49.87","48.72","49","49.01","48.74","48.42","47.77",
"Azerbaijan","AZE","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.54","31.1","32.17","36.07","27.33","","","","","","","","","",
"Burundi","BDI","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.52","","","56.5","","","",
"Belgium","BEL","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","29.67","28.42","29.12","30.36","28.67","28.18","26.98","27.54","29.33","30.29","26.28","25.27","24.18","22.59","21.79","22.64","23.36","26.72","24.98","25.65","23.77","25.88","25.2","24.73","24.97","25.01","23.2","23.11","24.2","22.64","21.9","21.81","21.68","21.4","20.86","23.51","25.84","22.52",
"Benin","BEN","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.54","44.53","","","","","","","32.3800010681152","","",
"Burkina Faso","BFA","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.08","","","","","","","","39.51","","","","21.92","","",
"Bangladesh","BGD","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.31","","","","32.1","","","34.11","","","23.61","21.92","","","",
"Bulgaria","BGR","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.05","21.03","19.59","19.51","19.53","19.37","21.02","21.82","23.11","21.38","21.25","18.95","18.73","18.36","17.27","16.46","16.25","19.12","17.01","18.38","15.74",
"Bahrain","BHR","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.65","","","","","","","","","","18.89","","","","","","","","","23.02","20.06","","","","25.7","","","","","",
"Bahamas, The","BHS","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.92","9.38","12.1","11.42","9.99","9.2","7.53","7.89","8.03","7.99","8.73","11.27","12.55","18.37","15.8199996948242",
"Belarus","BLR","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.3","","","","","","","","","","","38.9199981689453",
"Belize","BLZ","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.11","23.82","24.53","24.59","24.41","26.36","","31.72","",
"Bermuda","BMU","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.47","43.77","","41.69","42.34","","42.01","34.64","37.32","40.06","31.68","33.91","35.06","41.02","37.67","35.24",
"Brazil","BRA","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.94","40.05","39.11","37.63","37.9","","39.26","40.33","39.36","41.24","41.54","41.65","42.25","42.55","40.96","","40.22","38.52","37.81","37.39","35.27","32.43","32.37","32.94","33.72","27.71",
"Barbados","BRB","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.48","27.92","26.28","30.78","29.18","30.52","33.07","",
"Brunei Darussalam","BRN","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.74","","","25.01","23.8","23.69","",
"Bhutan","BTN","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.93","35.88","35.87","33.35","","25.55","27.1","","","","","",
"Botswana","BWA","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.39","","","","","","","","","","23.08","","","20.95","19.62","","","21.79","","","","","","19.85","16.5799999237061",
"Central African Republic","CAF","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","51.4","51.56","52.37","54.65","56.11","57.24","53.93","53.92","55","56.61","58.26","59.44","60.89","61.91","59.92","57.57","55.13","53.27","53.4","53.26","52.05","50.16","51.94","53.76","55.72","56.22","57.62","58.64","58.25","58.74","59.33","59.81","60.04","57.26","56.71","56.48","55.57","56.02","56.92","57.17","56.78","57.64","57.24","58.81","49.61",
"Central Europe and the Baltics","CEB","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.7144397533811","29.1791077505977","27.2463786411697","25.9847137298219","25.2083707177962","22.8931727816259","21.2964973154861","21.4211180571979","20.8777911515629","21.4481289141583","22.1348431013267","22.5747956998321","21.6335935999215","20.7040706884217","19.3134322202545","19.4748738128125","19.1028418723811","20.2945870313374","21.1569731696768","22.1548538966271","23.843653358943","24.3384283791327","24.3532096878548","21.8523180734618",
"Switzerland","CHE","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.87","66.68","67.99","63.35","60.81","62.93","62.33","59.08","65.42","63.4","63.23","65.42","62.31","61.1","58.83","62.03","59.7","61.24","62.35","61.52","62.53","60.93","61.18","61.68","62.58","63.17","62.36","62.58","61.56","59.4",
"Channel Islands","CHI","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.1800003051758","","25.2000007629395","","24.3799991607666","","23.84","24.52","23.37","20.57","20.2","19.29","18.49","19.07","19.93","20.54","20.9","21.71","22.47","22.01","23.82","25.27","25.56","25.12","24.54","24.43","24.09","24.29","24.17","23.28","16.21",
"China","CHN","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.23","47.28","","","30.44","25.35","","","",
"Cameroon","CMR","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.17","","","49.3","","","","41.66","","","","","","",
"Congo, Dem. Rep.","COD","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.57","","","","","","","36.63","","","","","","","","",
"Congo, Rep.","COG","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.51","","","","45.6","","","","","","","","","","","",
"Colombia","COL","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.8","31.18","32.38","30.43","30.08","30.23","28.23","27.69","29.98","31.22","32.57","34.26","34.52","35.19","35.42","35.2","35.04","34.06","32.38","25.57",
"Comoros","COM","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.18","","","","","","","","","","9.97","","","","","","",
"Cabo Verde","CPV","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.36","","20.15","19.36","18.09","",
"Costa Rica","CRI","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.34","30.96","30.57","31.15","30.92","30.7","26.11","28.39","31.8","31.29","30.21","31.21","29.45","29.83","26.97","29.04","29.82","33.29","33.72","28.87","27.19","23.63","27.8","29.06","26.11","27.01","22.71","24.05","23.63","23.77","18.15",
"Caribbean small states","CSS","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.2806437436063","20.8692111917018","20.8792271628294","21.3842742154783","23.3642137078208","","","","",
"Cuba","CUB","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.79","","14.710000038147",
"Cayman Islands","CYM","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.07","52.24","50.35","","","44.26","51.75","45.99","40.44","52.25","","","","","",
"Cyprus","CYP","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.33","37.72","35.78","36.52","34.66","33.25","34.08","35.99","36.74","33.35","33.29","28.71","26.06","22.96","25.86","26.79","26.23","30.71","35.03","34.14","32.09",
"Czech Republic","CZE","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.94","39.44","38.35","37.34","35.87","35.12","33.95","33.57","31.48","29.15","27.11","25.66","23.39","23.71","23.92","23.52","21.74","20.59","19.79","21","20.99","21.6","23.41","23.22","24.26","24.34","24.3","19.45",
"Germany","DEU","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","41.85","48.3","49.92","51.73","52.58","53.73","54.31","56.04","55.14","52.73","49.84","48.41","46.18","43.04","41.88","42.46","43.89","43.59","44.26","43.82","42.96","39.84","40.15","41.65","43.53","44.53","44.36","44.48","46.07","44.52","45.22","44.32","44.01","44.46","45.51","45.39","46.12","46.92",
"Djibouti","DJI","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.98","","","",
"Dominica","DMA","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","49.92","60.15","62.63","64.87","67.25","66.7","62.47","62.19","62.15","62.11","59.7","59.14","60.92","61.97","63.42","66.13","62.78","63.98","58.99","63.55","57.91","59.4","60.54","64.14","64.02","61.14","59.41","55.51","54.19","51.91","51.13","51.24","52.3","54.58","53.94","55.19","55.77","53.95",
"Dominican Republic","DOM","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.67","23.07","24.99","22.78","23.07","23.08","23.17","23.21","24.56","20.22","23.32","23.36","24.56","21.23","23.02","24.01","24.06","25.89","25.37","26.33","22.25",
"Algeria","DZA","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.47","5.58","","","","4.99","4.81","4.4","5.15","","","",
"East Asia & Pacific (excluding high income)","EAP","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.9605875593539","","","","","20.5056809433347","","18.2381915216481","","","","","","15.4336797934592","15.9031721812448","15.766720229159",
"East Asia & Pacific","EAS","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.6314536223469","26.2397097323902","25.5995412674036","25.3588748367587","25.5678843243433","24.3961146420374","24.7364645175823","24.4603661669709","24.1336203158079","23.5790486444231","23.5406359444918","23.220551742291","23.3706798222934","21.3437905257049",
"Europe & Central Asia","ECS","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.8607207894231","35.7639053621001","34.9257075616557","33.7289361882839","32.8379229973392","31.5125568554248","31.3583232815241","32.4308848239826","32.3746655151793","32.1924353752482","32.082343742358","31.001883417047","30.5708522324284","30.6133577352779","30.5206705855909","31.3278261502202","31.7578897275632","30.3747975099458","29.736869326032","29.6230295063107","28.8993652658165","28.9187109174409","28.7900388429129","29.3764925400427","29.6156534909763","29.8292045092938","29.9607215718828","30.3965736243125","26.4976731401346",
"Ecuador","ECU","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.27","43.1","","35.79","37.6","35.72","36.47","36.13","34.33","32","29.17","26.42","27.74","26.76","24.73","28.57","30.2","31.23","30.06","29.87","25.36",
"Egypt, Arab Rep.","EGY","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.58","8.62","8.68","7.91","7.14","8.58","9.32","12.75","12.49","11.55","5.52","4.55","",
"Euro area","EMU","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","36.1337271314468","37.0428700014888","37.3289537886102","35.3704717755059","36.2968497566881","36.5432398370104","37.0874635194677","37.8385472841621","36.6786079613531","34.7885135079136","32.2273864117764","31.3708655817165","30.3420417401399","29.2142702154388","28.9860352016817","30.1773231071722","31.4284607819167","32.5581917015499","33.042385444244","32.9750579256771","32.9741852579162","32.3061605768471","32.3510877986841","32.7873636254379","33.9873475110128","34.1418552755607","32.4348510428206","31.2895270462209","31.006061517291","29.8275452083417","29.3140203699656","28.9192232610554","29.3241036723221","29.8174831986496","30.7309318374168","31.3164056768999","31.8492852644837","30.1693717405982",
"Eritrea","ERI","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","19.53","22.36","23.34","24.88","25.84","25.2","23.8","20.43","19.78","19.98","19.26","20.14","21.13","23.79","26.79","27.39","27.84","28.83","29.29","32.98","34.5","33.97","32.57","26.66","24.3","21.96","18.28","16.29","16","17.27","17.24","19.71","20.53","20.13","16.57",
"Estonia","EST","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.44","41.2","36.77","36.19","38.96","33.17","32.37","31.49","30.97","24.27","25.29","22.7","19.66","20.46","24.71","26.78","25.79","29.8","32.88","26.65","24.15","28.98","30.35","30.66","33.27","33.1","36.1","38.18","39.91","37.97","33.59",
"Ethiopia","ETH","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.21","","","","","","67.67","","","","","","","","67.67","","","","","","","",
"European Union","EUU","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.8318014307853","37.0664468255952","37.5289655269805","38.9642618171446","37.7354645476269","34.861199982938","32.290575594384","31.4503717252191","30.2927798957698","29.2017143783413","29.271334563511","30.3153325567841","30.7810166316217","31.3056580267186","31.6294701429155","30.8807798959026","30.4106084354887","29.955132590031","29.8494492715409","30.4094862633516","31.528350251551","31.8057050889765","30.3944330974372","29.3820307043637","28.9271174748808","28.1032290983563","27.6909306269983","27.737871007864","28.2882802767052","28.9677129776472","30.0159654808698","30.6198909927691","31.0675224204383","29.1781764477309",
"Fragile and conflict affected situations","FCS","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.2","46.03","37.06","30.97","28.48","28.35","26.82","28.26","30.67","42.85","43.75","44.48","44.12","43.91","43.17","40.58","41.62","44.7","45.06","41.46","39.95","41.23","42.66","43.88","42.95","42.81","43.26","43.69","45.52","45.12","41.39",
"Fiji","FJI","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.42","","","","","","21.5","","","21.08","","20.93","","","","",
"France","FRA","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","37.32","34.56","34.06","35.22","33.85","32.62","32.88","32","29.27","27.88","26.18","23.96","23.44","22.77","21.7","22.68","23.13","25.08","25.65","25.9","27.49","26.7","26.92","26.45","28.11","28.46","28.33","27.07","26.71","26.12","25.66","25.48","25.98","26","26.41","27.18","27.79","26.46",
"Faroe Islands","FRO","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.05","","","","","","",
"Gabon","GAB","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.26","","","","","","","","","","",
